CasoPeorBurbujaNormal;CasoMedioBurbujaNormal;CasoMejorBurbujaNormal;CasoPeorSeleccionDirectaNormal;CasoMedioSeleccionDirectaNormal;CasoMejorSeleccionDirectaNormal;CasoPeorMezclaNormal;CasoMedioMezclaNormal;CasoMejorMezclaNormal;CasoPeorBurbujaVolatile;CasoMedioBurbujaVolatile;CasoMejorBurbujaVolatile;CasoPeorSeleccionDirectaVolatile;CasoMedioSeleccionDirectaVolatile;CasoMejorSeleccionDirectaVolatile;CasoPeorMezclaVolatile;CasoMedioMezclaVolatile;CasoMejorMezclaVolatile;
    1000;     100;       0;    1400;     100;     100;    2000;     100;       0;    1000;       0;     100;    2100;     100;       0;    2500;     100;       0;
     500;   33600;     100;     600;       0;       0;    3600;     100;     100;     500;   36600;       0;     700;       0;       0;    2900;     100;     100;
     400;    5800;       0;     500;       0;     100;    1300;     100;     100;     500;    7900;       0;     400;     100;       0;    1400;     200;       0;
     300;    3600;       0;     300;     100;       0;    1100;     100;     100;     300;    3700;       0;     300;     100;       0;    1100;     100;     100;
     400;     500;       0;     300;     100;       0;    1300;     300;     200;     400;     500;       0;     300;     100;     100;    1200;     200;     200;
     600;     400;       0;     400;     100;     100;    1400;     300;     200;     500;     600;     100;     400;     100;     100;    1300;     300;     200;
     700;     700;     100;     500;     100;       0;    1600;     300;     200;     700;     600;     100;     600;     100;     100;    1500;     200;     300;
     900;     800;       0;     600;       0;       0;    1700;     200;     200;     800;     700;       0;     600;     100;       0;    1800;     500;     300;
    1100;     900;     100;     800;     100;     100;    2100;     300;     300;    1100;     900;     100;     800;     100;     100;    2000;     400;     300;
    1300;    1100;     100;     900;     100;     100;    2400;     400;     300;    1300;    1200;     100;    1000;     100;       0;    2300;     400;     300;
    1600;    1100;     100;    1100;     100;     100;    2700;     400;     300;    1600;    1500;       0;    1100;     200;     100;    2600;     500;    1100;
    1900;    1700;     100;    1200;     100;     100;    5000;     400;     300;    1900;    1600;     100;    1300;     200;     100;    5400;     400;     400;
    2200;    1900;     200;    1400;     200;     100;    3100;    1300;     300;    2100;    1700;     100;    1400;     100;     100;    3100;     400;     300;
    2500;    1900;     100;    1600;     200;     100;    3400;     500;     300;    2500;    2100;     100;    1700;     100;     100;    3400;     400;     400;
    2900;    2400;     100;    1800;     200;     100;    3700;     500;     400;    2900;    2300;     100;    1800;     200;     100;    3700;    1300;     300;
    3300;    2700;     200;    2000;     300;     100;   16600;     400;     300;    3300;    2800;     100;    2000;     200;     200;   13800;     400;    1300;
    3700;    2900;     100;    2100;     300;     200;    5500;     700;     600;    3700;    2500;     200;    2300;     200;     100;    6300;     700;     500;
    5300;   20800;     100;    5400;     300;     200;    4800;     700;     600;    7100;   31500;     100;    8000;     200;     200;    4800;     600;     500;
    4600;    3700;     200;    2600;     300;     100;    4900;     700;     500;    4600;    3800;     200;    2800;     300;     200;    5000;    1500;     500;
    5200;    4000;     200;    2900;     300;     200;    5500;     700;     500;    5100;    3600;     100;    3100;     300;     200;    5500;     700;    1500;
    5800;    4800;     200;    3200;     400;     200;    5500;    1600;     600;    5600;    4500;     200;    3400;     400;     200;    5500;     800;     600;
    6100;    4900;     200;    3500;     500;     200;    5800;     700;     600;    6300;    4800;     100;    3700;     500;     200;    6000;    1600;     600;
   12900;    6800;     100;    4100;     500;     300;   20200;     800;     600;    7200;    6000;     200;    4400;     500;     300;   16600;     800;    1800;
    7400;    5800;     300;    4000;     500;     300;    7600;    1700;     500;    7400;    5500;     200;    4300;     500;     300;    7200;     800;     600;
    7900;    6200;     200;    4400;     500;     300;    6700;     900;     700;    8000;   10700;     200;    4600;     500;     300;    7200;    1700;     700;
    9100;    7400;     200;    5000;     600;     300;    7600;     800;     700;    8900;    7400;     200;    5300;     600;     400;    7800;     900;    1500;
    9300;    6900;     300;    5100;     600;     300;    7800;     900;     700;   12700;    7200;     200;    5400;     600;     300;    8800;     800;     600;
    9900;    7700;     200;    5400;     600;     400;    8000;     900;     600;   10000;    7600;     300;    5700;     700;     400;    8100;    1600;     600;
   11000;    9300;     200;    6200;     700;     400;    8300;    1800;     800;   11100;    9000;     300;    6500;     700;     400;    8000;     800;    1600;
   11400;    9200;     300;    6200;     800;     500;   12300;     800;     700;   12200;    9100;     300;    6500;     800;     400;    9400;    1700;     700;
   12500;   15000;     300;    6800;     800;     400;  107600;    1800;     600;   12500;    9500;     300;    7300;     800;     500;    8500;     900;    1600;
   12900;   10200;     300;    7000;     900;     500;    9200;     900;     700;   12900;    9700;     300;    7400;     800;     500;    9500;    1800;     600;
   14200;   14200;     300;    7700;     900;     500;   17800;    2000;     900;   14100;   11000;     300;    8100;     900;     500;    9500;    1100;    1800;
   14500;    3300;     300;    7800;     900;     600;  146400;    1200;     800;   14500;   11400;     300;    8200;     900;     600;   10700;    2000;     800;
   15800;    3100;     300;    8500;    1000;     600;   32800;    1900;     800;   15900;   12200;     300;    9100;    1000;     600;   10200;    1100;    1600;
   16600;    2600;     400;    9000;    1100;     600;   11200;    1100;     800;   16900;   13200;     400;    9500;    1000;     700;   15800;    1900;     800;
   17300;    2900;     300;    9100;    1100;     700;   10500;    2200;     900;   17200;   13000;     400;    9600;    1100;     700;   10700;    1100;    1800;
   18700;    2800;     300;    9900;    1200;     700;   11300;    1200;     800;   18500;   16200;     400;   10500;    1100;     700;   11100;    2200;     900;
   19700;    3200;     400;   10500;    1200;     700;   11300;    2000;     800;   19400;    4300;     400;   10900;    1200;     700;   11900;    1200;    1700;
   20700;    3200;     400;   11400;    1300;     800;   11200;    2100;     800;   20400;    3300;     400;   12400;    1300;     800;   11600;    1200;    1900;
   21800;    3300;     400;   12000;    1400;     800;   12400;    1300;    1000;   21900;    3200;     400;   12000;    1300;     800;   12400;    2300;    1000;
   22100;    3400;     500;   12300;    1500;     900;   11700;    2500;     900;   28600;    3700;     400;   12300;    1400;     900;   34200;    1400;    5900;
   23500;    3500;     500;   13100;    1500;     900;   12600;    2400;     900;   35900;    3900;     500;   13100;    1500;     900;   11100;    2200;    2000;
   24600;    4100;     500;   17200;    1500;    1000;   13000;    1400;    1000;   27600;    3600;     500;   13700;    1600;    1000;   11900;    2100;     900;
   25700;    4500;     500;   14400;    1600;    1000;   13100;    3000;    1000;   25900;    4700;     500;   14200;    1600;    1000;   11800;    1800;    2000;
   30900;    4100;     600;   15800;    1700;    1100;   33600;    2400;    1000;   26800;    4200;     600;   14900;    1700;    1100;   12200;    2800;    2000;
   28200;    4400;     500;   15500;    1800;    1100;   17400;    2200;    1100;   28100;    4300;     500;   15500;    1800;    1100;   12000;    2500;    1100;
   29600;    4800;     600;   16300;    1900;    1100;   12100;    1400;    1000;   62000;    4600;     500;   19200;    1800;    1100;   13200;    2300;    2000;
   30400;    5000;     600;   16600;    1900;    1200;   12800;    2300;    1400;   30500;    4900;     600;   16700;    2000;    1100;   12800;    1600;    2100;
   31700;    4700;     600;   17300;    2000;    1200;   12700;    2400;    1200;   31500;    4800;     600;   17300;    2000;    1300;   12800;    1700;    2000;
   36400;    5100;     600;   18000;    2100;    1300;   13500;    2500;    1100;   33100;    5100;     600;   17900;    2100;    1300;   13600;    2900;    2000;
