TiemposFB;InversionesFB;TiemposDYV;InversionesDYV
     300;       0;     800;       0;
     300;       1;    4700;       1;
     500;       1;    2200;       2;
     500;       5;    2500;       5;
     500;       7;    3000;       1;
     700;      10;    3400;       4;
     900;      11;    4200;       9;
     900;      14;    4300;      22;
    1100;      17;    4800;      19;
    1200;      28;    5500;      21;
    1400;      27;    5700;      35;
    1500;      45;    6300;      42;
    1700;      34;    6700;      32;
    1900;      49;    7100;      57;
    2100;      47;    7700;      52;
    2300;      58;    9400;      51;
    2500;      58;   10100;      71;
    4000;      73;   15400;      58;
    3100;      77;    4800;      98;
    3500;     114;    4700;      89;
    3500;     115;    4900;     102;
    4000;     127;    5300;     147;
    5000;     140;    5600;     106;
